Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,21,11,60000,50060.257204761176,20839.18959996663,61717.75809995597,187.85714285714286,0.12927513165080282,0.06771554515042053,60000,60000,60000,60000,60000,60000,62000,62000,62000,62000,62000
POST,/predict,53,28,16000,24642.6717811319,6.6071999608539045,60017.66549999593,224.41509433962264,0.32626580845202613,0.17236684220107043,16000,30000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,74,39,30000,31855.770347296966,6.6071999608539045,61717.75809995597,214.04054054054055,0.455540940102829,0.24008238735149093,31000,56000,60000,60000,60000,60000,60000,62000,62000,62000,62000
