Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,11,2,38000,31329.99826362886,4.0546999662183225,56484.63819996687,200.36363636363637,0.12460744807547883,0.022655899650087057,38000,42000,54000,54000,54000,56000,56000,56000,56000,56000,56000
POST,/predict,64,22,11000,12633.92838125037,4.141899989917874,55466.89810004318,241.5,0.7249887888027858,0.24921489615095765,11000,16000,20000,22000,28000,38000,40000,55000,55000,55000,55000
,Aggregated,75,24,14000,15376.018630665882,4.0546999662183225,56484.63819996687,235.46666666666667,0.8495962368782647,0.27187079580104473,14000,18000,23000,27000,39000,54000,55000,56000,56000,56000,56000
