Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,17,0,21000,34955.94017057995,1871.7143999529071,99984.44719996769,210.05882352941177,0.15808876207565445,0.0,21000,41000,45000,51000,100000,100000,100000,100000,100000,100000,100000
POST,/predict,65,2,14000,16715.531744615426,3643.5902999946848,46329.59129998926,281.0153846153846,0.6044570314657376,0.018598677891253464,14000,18000,21000,27000,32000,36000,44000,46000,46000,46000,46000
,Aggregated,82,2,15000,20497.079832925145,1871.7143999529071,99984.44719996769,266.3048780487805,0.7625457935413921,0.018598677891253464,16000,21000,27000,29000,38000,46000,100000,100000,100000,100000,100000
